product_type,sku,price,availability,number_of_products_sold,revenue_generated,customer_demographics,stock_levels,lead_times,order_quantities,shipping_times,shipping_carriers,shipping_costs,supplier_name,location,lead_time,production_volumes,manufacturing_lead_time,manufacturing_costs,inspection_results,defect_rates,transportation_modes,routes,costs,total_unit_cost,profit,profit_margin,logistics_efficiency,supplier_score,inventory_turnover,revenue_per_unit
haircare,SKU0,69.80800554211577,55,802,8661.996792392383,Non-binary,58,7,96,4,Carrier B,2.956572139430807,Supplier 3,Mumbai,29,215,29,46.27987924050832,Pending,0.2264103608499251,Road,Route B,187.75207545920392,49.236451379939126,-30825.6372143188,-355.8721845913426,0.19332320994737587,0.4243605479002619,13.59322033898305,10.787044573340452
skincare,SKU1,14.84352327508434,95,736,7460.900065445849,Female,53,30,37,2,Carrier A,9.71657477143131,Supplier 3,Mumbai,23,517,30,33.61676895373,Pending,4.854068026388706,Road,Route B,503.0655791496692,43.33334372516131,-24432.440916272877,-327.47310246693195,0.17100477189659977,0.10153972406180208,13.62962962962963,10.123337944974015
haircare,SKU2,11.319683293090566,34,8,9577.74962586873,Unknown,1,10,88,2,Carrier B,8.054479261732155,Supplier 1,Mumbai,12,971,27,30.688019348284204,Pending,4.580592619199229,Air,Route C,141.92028177151906,38.742498610016355,9267.809636988599,96.76395812182218,0.19373883294206007,0.10745336213317846,4.0,1064.1944028743033
skincare,SKU3,61.163343016437736,68,83,7766.836425685233,Non-binary,23,13,59,6,Carrier C,1.7295685635434288,Supplier 5,Kolkata,24,937,18,35.62474139712503,Fail,4.74664862064775,Rail,Route A,254.77615921928663,37.35430996066846,4666.4286989497505,60.08145972429247,0.18847890772650452,0.11332302325573526,3.4583333333333335,92.46233840101468
skincare,SKU4,4.805496036345893,26,871,2686.505151567447,Non-binary,5,3,56,8,Carrier A,3.890547915870672,Supplier 1,Delhi,5,414,3,92.06516059871284,Fail,3.145579522833002,Air,Route A,923.4406317119222,95.9557085145835,-80890.91696463479,-3011.0091885526003,0.18078726434125975,0.2456103989191626,145.16666666666666,3.0808545316140443
haircare,SKU5,1.6999760138659377,87,147,2828.348745975759,Non-binary,90,27,66,3,Carrier B,4.444098864382293,Supplier 4,Bangalore,10,104,17,56.7664755574318,Fail,2.7791935115711617,Road,Route A,235.4612367355375,61.21057442181409,-6169.605694030913,-218.1345459186804,0.16581982429344946,0.1600811378648166,1.6153846153846154,19.11046449983621
skincare,SKU6,4.078332863107945,48,65,7823.476559531737,Male,11,15,58,8,Carrier C,3.880763302952003,Supplier 3,Kolkata,14,314,24,1.0850685695870688,Pending,1.0009106193041355,Sea,Route A,134.36909686103172,4.965831872539072,7500.697487816697,95.87422459492409,0.12466024013639139,0.26988622439011645,5.416666666666667,118.53752362926873
cosmetics,SKU7,42.95838438246007,59,426,8496.103813089838,Female,93,17,11,1,Carrier B,2.3483387844177805,Supplier 4,Bangalore,22,564,1,99.46610860359912,Fail,0.3981771868506506,Road,Route C,802.0563118175586,101.8144473880169,-34876.85077420536,-410.50405622952775,0.3062633351388401,0.6076084667253325,4.531914893617022,19.897198625503133
cosmetics,SKU8,68.71759674852733,78,150,7517.363210631127,Female,5,10,15,7,Carrier C,3.4047338570830266,Supplier 4,Mumbai,13,769,8,11.423027139565695,Pending,2.709862691109961,Sea,Route B,505.55713422546415,14.827760996648722,5293.199061133819,70.41297477349673,0.14538126906750232,0.1903314331636845,25.0,49.78386232206044
skincare,SKU9,64.01573294127854,35,980,4971.145987585558,Unknown,14,27,83,1,Carrier A,7.166645291048216,Supplier 2,Chennai,29,963,23,47.95760163495158,Pending,3.844614478767585,Rail,Route B,995.9294614986416,55.1242469259998,-49050.615999894246,-986.7064077858172,0.24744907574230884,0.1240407200493129,65.33333333333333,5.067427102533698
